Meal_Id,Meal,formatted_Meal,Category,Sub_Category,Origin,Omnivore,Vegan,Vegetarian,Pescatarian,GF_Option,Diary_Option,Nut_Option,Shellfish_Option
10000,Chicken Cutlet w/ Tomato Panzarella,Chicken Cutlet\nw/ Tomato\nPanzarella,Chicken,Chicken,,1,0,0,0,1,1,1,1
10001,Roast Chicken w/ Potatoes & Root Veggies,Roast Chicken\nw/ Potatoes\n& Root Veggies,Chicken,Chicken,,1,0,0,0,1,1,1,1
10002,Gingery Chicken Peanut Sauce w/ Rice & Broccoli,Gingery Chicken\nPeanut Sauce w/\nRice & Broccoli,Chicken,Chicken,,1,0,0,0,1,1,0,1
10003,Tumeric & Grass Coconut Chicken Curry w/ Rice,Tumeric & \nCoconut Chicken\nCurry w/ Rice,Chicken,Chicken,,1,0,0,0,1,1,1,1
10004,Chicken w/ Cous Cous & (Sweet) Potatoes,Chicken w/ Cous\nCous &\n(Sweet) Potatoes,Chicken,Chicken,,1,0,0,0,1,1,1,1
10005,Miso Chicken w/ Rice & Broccoli,Miso Chicken\nw/ Rice\n& Broccoli,Chicken,Chicken,,1,0,0,0,1,1,1,1
10006,Oregano Chicken w/ Buttered Tomatoes,Oregano Chicken\nw/ Buttered\nTomatoes,Chicken,Chicken,,1,0,0,0,1,1,1,1
10007,Peanut Sesame Noodles w/ Chicken,Peanut Sesame\nNoodles\nw/ Chicken,Chicken,Chicken,,1,0,0,0,1,1,0,1
10008,Maple Roasted Chicken & Veggies,Maple Roasted\nChicken &\nVeggies,Chicken,Chicken,,1,0,0,0,1,1,1,1
10009,Freestyle Chicken Farm w/ Spinach & Bread,Freestyle\nChicken Farm w/\nSpinach & Bread,Chicken,Chicken,,1,0,0,0,1,1,1,1
10010,Apricot Glazed Chicken,Apricot Glazed\nChicken,Chicken,Chicken,,1,0,0,0,1,1,1,1
10011,Caprese Stuffed Balsamic Chicken,Caprese Stuffed\nBalsamic\nChicken,Chicken,Chicken,,1,0,0,0,1,1,1,1
10012,Barbecued Cornish Game Hens,Barbecued\nCornish\nGame Hens,Chicken,Chicken,,1,0,0,0,1,1,1,1
10013,African Chicken w/Garlic and Tomatoes,African Chicken\nw/ Garlic\n& Tomatoes,Chicken,Chicken,,1,0,0,0,1,1,1,1
10014,Chicken w/ Carmelized Onions & Cardamom Rice,Chicken w/\nCarmelized\nOnions & Rice,Chicken,Chicken,,1,0,0,0,1,1,1,1
10015,Fig Rosemary Chicken w/ Squash,Fig Rosemary\nChicken w/\nSquash,Chicken,Chicken,,1,0,0,0,1,1,1,1
10016,Take Out Style Sesame Noodles w/ Chicken,Take Out Style\nSesame Noodles\nw/ Chicken,Chicken,Chicken,,1,0,0,0,1,1,1,1
10017,Nancy's Salmon w/ Rice,Nancy's Salmon\nw/Rice,Fish,Ray,,1,0,0,1,1,1,1,1
10018,Trout/Sole Almondine w/ Rice/Pasta & Brussel Sprouts,Trout Almondine\nw/ Pasta &\nBrussel Sprouts,Fish,White,,1,0,0,1,1,1,1,1
10019,Linguine w/ Scallops & Brown Butter,Linguine w/\nScallops &\nBrown Butter,Fish,Shell,,1,0,0,1,1,1,1,0
10020,Shrimp w/ Israeli cous cous & Broccoli,Shrimp w/\nIsraeli Cous\nCous & Broccoli,Fish,Shell,,1,0,0,1,1,1,1,0
10021,Hoisin Glazed Scallops w/ Spinach,Hosin Glazed\nScallops w/\nSpinach,Fish,Shell,,1,0,0,1,1,1,1,0
10022,Shrimp Scampi w/ Thin Pasta & Caesar Salad,Shrimp Scampi \nw/ Thin Pasta &\nCaesar Salad,Fish,Shell,,1,0,0,1,1,1,1,0
10023,Lemon Salmon w/ Potatoes & Carrots,Lemon Salmon\nw/ Potatoes\n& Carrots,Fish,Ray,,1,0,0,1,1,1,1,1
10024,One Pan Shrimp Scampi w/ Orzo,One Pan Shrimp\nScampi w/ Orzo,Fish,Shell,,1,0,0,1,1,1,1,0
